

 --- Rician pdf for K=8  ---
Eb_N0=  3.400 dB        result=  -1.9502551 
Eb_N0=  3.500 dB        result=  -1.9884012 
Eb_N0=  3.600 dB        result=  -2.0266217 
Eb_N0=  3.700 dB        result=  -2.0648820 
Eb_N0=  3.800 dB        result=  -2.1031478 
Eb_N0=  3.900 dB        result=  -2.1413869 
Eb_N0=  4.000 dB        result=  -2.1795678 

 --- Rician pdf for K= 8.00 ---
Eb_N0=  0.000 dB        result=  -0.9491192 
Eb_N0=  0.100 dB        result=  -0.9728017 
Eb_N0=  0.200 dB        result=  -0.9973453 
Eb_N0=  0.300 dB        result=  -1.0227746 
Eb_N0=  0.400 dB        result=  -1.0491135 
Eb_N0=  0.500 dB        result=  -1.0763860 
Eb_N0=  0.600 dB        result=  -1.1046155 
Eb_N0=  0.700 dB        result=  -1.1338248 
Eb_N0=  0.800 dB        result=  -1.1640360 
Eb_N0=  0.900 dB        result=  -1.1952707 
Eb_N0=  1.000 dB        result=  -1.2275490 
Eb_N0=  1.100 dB        result=  -1.2608903 
Eb_N0=  1.200 dB        result=  -1.2953126 
Eb_N0=  1.300 dB        result=  -1.3308324 
Eb_N0=  1.400 dB        result=  -1.3674645 
Eb_N0=  1.500 dB        result=  -1.4052221 
Eb_N0=  1.600 dB        result=  -1.4441161 
Eb_N0=  1.700 dB        result=  -1.4841555 
Eb_N0=  1.800 dB        result=  -1.5253468 
Eb_N0=  1.900 dB        result=  -1.5676939 
Eb_N0=  2.000 dB        result=  -1.6111979 
Eb_N0=  2.100 dB        result=  -1.6558569 
Eb_N0=  2.200 dB        result=  -1.7016659 
Eb_N0=  2.300 dB        result=  -1.7486166 
Eb_N0=  2.400 dB        result=  -1.7966973 
Eb_N0=  2.500 dB        result=  -1.8458919 
Eb_N0=  2.600 dB        result=  -1.8961812 
Eb_N0=  2.700 dB        result=  -1.9475417 
Eb_N0=  2.800 dB        result=  -1.9999458 
Eb_N0=  2.900 dB        result=  -2.0533620 
Eb_N0=  3.000 dB        result=  -2.1077541 
Eb_N0=  3.100 dB        result=  -2.1630820 
Eb_N0=  3.200 dB        result=  -2.2193023 
Eb_N0=  3.300 dB        result=  -2.2763648 
Eb_N0=  3.400 dB        result=  -2.3342173 
Eb_N0=  3.500 dB        result=  -2.3928030 
Eb_N0=  3.600 dB        result=  -2.4520625 
Eb_N0=  3.700 dB        result=  -2.5119308 
Eb_N0=  3.800 dB        result=  -2.5723414 
Eb_N0=  3.900 dB        result=  -2.6332245 
Eb_N0=  4.000 dB        result=  -2.6945075 

 --- Rician pdf for K= 0.00 ---
Eb_N0=  0.000 dB        result=  -0.7933774 
Eb_N0=  0.100 dB        result=  -0.8076339 
Eb_N0=  0.200 dB        result=  -0.8221944 
Eb_N0=  0.300 dB        result=  -0.8370579 
Eb_N0=  0.400 dB        result=  -0.8522229 
Eb_N0=  0.500 dB        result=  -0.8676877 
Eb_N0=  0.600 dB        result=  -0.8834503 
Eb_N0=  0.700 dB        result=  -0.8995074 
Eb_N0=  0.800 dB        result=  -0.9158565 
Eb_N0=  0.900 dB        result=  -0.9324942 
Eb_N0=  1.000 dB        result=  -0.9494167 
Eb_N0=  1.100 dB        result=  -0.9666208 
Eb_N0=  1.200 dB        result=  -0.9841009 
Eb_N0=  1.300 dB        result=  -1.0018529 
Eb_N0=  1.400 dB        result=  -1.0198720 
Eb_N0=  1.500 dB        result=  -1.0381530 
Eb_N0=  1.600 dB        result=  -1.0566876 
Eb_N0=  1.700 dB        result=  -1.0754754 
Eb_N0=  1.800 dB        result=  -1.0945091 
Eb_N0=  1.900 dB        result=  -1.1137813 
Eb_N0=  2.000 dB        result=  -1.1332867 
Eb_N0=  2.100 dB        result=  -1.1530190 
Eb_N0=  2.200 dB        result=  -1.1729719 
Eb_N0=  2.300 dB        result=  -1.1931355 
Eb_N0=  2.400 dB        result=  -1.2135098 
Eb_N0=  2.500 dB        result=  -1.2340853 
Eb_N0=  2.600 dB        result=  -1.2548558 
Eb_N0=  2.700 dB        result=  -1.2758147 
Eb_N0=  2.800 dB        result=  -1.2969557 
Eb_N0=  2.900 dB        result=  -1.3182724 
Eb_N0=  3.000 dB        result=  -1.3397584 
Eb_N0=  3.100 dB        result=  -1.3614077 
Eb_N0=  3.200 dB        result=  -1.3832140 
Eb_N0=  3.300 dB        result=  -1.4051713 
Eb_N0=  3.400 dB        result=  -1.4272737 
Eb_N0=  3.500 dB        result=  -1.4495155 
Eb_N0=  3.600 dB        result=  -1.4718909 
Eb_N0=  3.700 dB        result=  -1.4943943 
Eb_N0=  3.800 dB        result=  -1.5170206 
Eb_N0=  3.900 dB        result=  -1.5397643 
Eb_N0=  4.000 dB        result=  -1.5626204 

 --- Rician pdf for K= 4.00 ---
Eb_N0=  0.000 dB        result=  -0.9060737 
Eb_N0=  0.100 dB        result=  -0.9267189 
Eb_N0=  0.200 dB        result=  -0.9479991 
Eb_N0=  0.300 dB        result=  -0.9699232 
Eb_N0=  0.400 dB        result=  -0.9924992 
Eb_N0=  0.500 dB        result=  -1.0157338 
Eb_N0=  0.600 dB        result=  -1.0396329 
Eb_N0=  0.700 dB        result=  -1.0642010 
Eb_N0=  0.800 dB        result=  -1.0894412 
Eb_N0=  0.900 dB        result=  -1.1153552 
Eb_N0=  1.000 dB        result=  -1.1419431 
Eb_N0=  1.100 dB        result=  -1.1692034 
Eb_N0=  1.200 dB        result=  -1.1971329 
Eb_N0=  1.300 dB        result=  -1.2257266 
Eb_N0=  1.400 dB        result=  -1.2549776 
Eb_N0=  1.500 dB        result=  -1.2848771 
Eb_N0=  1.600 dB        result=  -1.3154149 
Eb_N0=  1.700 dB        result=  -1.3465765 
Eb_N0=  1.800 dB        result=  -1.3783486 
Eb_N0=  1.900 dB        result=  -1.4107140 
Eb_N0=  2.000 dB        result=  -1.4436536 
Eb_N0=  2.100 dB        result=  -1.4771466 
Eb_N0=  2.200 dB        result=  -1.5111699 
Eb_N0=  2.300 dB        result=  -1.5457011 
Eb_N0=  2.400 dB        result=  -1.5807070 
Eb_N0=  2.500 dB        result=  -1.6161658 
Eb_N0=  2.600 dB        result=  -1.6520455 
Eb_N0=  2.700 dB        result=  -1.6883147 
Eb_N0=  2.800 dB        result=  -1.7249408 
Eb_N0=  2.900 dB        result=  -1.7618902 
Eb_N0=  3.000 dB        result=  -1.7991280 
Eb_N0=  3.100 dB        result=  -1.8366193 
Eb_N0=  3.200 dB        result=  -1.8743283 
Eb_N0=  3.300 dB        result=  -1.9122189 
Eb_N0=  3.400 dB        result=  -1.9502551 
Eb_N0=  3.500 dB        result=  -1.9884012 
Eb_N0=  3.600 dB        result=  -2.0266217 
Eb_N0=  3.700 dB        result=  -2.0648820 
Eb_N0=  3.800 dB        result=  -2.1031478 
Eb_N0=  3.900 dB        result=  -2.1413869 
Eb_N0=  4.000 dB        result=  -2.1795678 

 --- Rician pdf for K= 8.00 ---
Eb_N0=  0.000 dB        result=  -0.9491192 
Eb_N0=  0.100 dB        result=  -0.9728017 
